UniProt;Protein.name;Gene.name
Q6ZWJ1;Syntaxin-binding protein 4;STXBP4
Q70CQ2;Ubiquitin carboxyl-terminal hydrolase 34;USP34
Q70E73;Ras-associated and pleckstrin homology domains-containing protein 1;RAPH1
Q70Z53;Protein FRA10AC1;FRA10AC1
Q71F23;Centromere protein U;MLF1IP
Q71RC2;La-related protein 4;LARP4
Q71U36;"Tubulin alpha-1A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain";"TUBA1A;TUBA3C;TUBA3E"
Q76FK4;Nucleolar protein 8;NOL8
Q7KZ85;Transcription elongation factor SPT6;SUPT6H
Q7KZF4;Staphylococcal nuclease domain-containing protein 1;SND1
Q7L014;Probable ATP-dependent RNA helicase DDX46;DDX46
Q7L0Y3;Mitochondrial ribonuclease P protein 1;TRMT10C
Q7L1Q6;Basic leucine zipper and W2 domain-containing protein 1;BZW1
Q7L2E3;Putative ATP-dependent RNA helicase DHX30;DHX30
Q7L2H7;Eukaryotic translation initiation factor 3 subunit M;EIF3M
Q7L2J0;7SK snRNA methylphosphate capping enzyme;MEPCE
Q7L2Z9;Centromere protein Q;CENPQ
Q7L4I2;Arginine/serine-rich coiled-coil protein 2;RSRC2
Q7L523;"Ras-related GTP-binding protein A;Ras-related GTP-binding protein B";"RRAGA;RRAGB"
Q7L576;Cytoplasmic FMR1-interacting protein 1;CYFIP1
Q7L590;Protein MCM10 homolog;MCM10
Q7L5Y9;Macrophage erythroblast attacher;MAEA
Q7L7X3;Serine/threonine-protein kinase TAO1;TAOK1
Q7LBC6;Lysine-specific demethylase 3B;KDM3B
Q7RTP6;Protein-methionine sulfoxide oxidase MICAL3;MICAL3
Q7RTV0;PHD finger-like domain-containing protein 5A;PHF5A
Q7Z2T5;TRMT1-like protein;TRMT1L
Q7Z2W4;Zinc finger CCCH-type antiviral protein 1;ZC3HAV1
Q7Z2Z2;Elongation factor Tu GTP-binding domain-containing protein 1;EFTUD1
Q7Z333;Probable helicase senataxin;SETX
Q7Z392;Trafficking protein particle complex subunit 11;TRAPPC11
Q7Z3B4;Nucleoporin p54;NUP54
Q7Z3C6;Autophagy-related protein 9A;ATG9A
Q7Z3J2;UPF0505 protein C16orf62;C16orf62
Q7Z3K3;Pogo transposable element with ZNF domain;POGZ
Q7Z3T8;Zinc finger FYVE domain-containing protein 16;ZFYVE16
Q7Z3U7;Protein MON2 homolog;MON2
Q7Z406;Myosin-14;MYH14
Q7Z417;Nuclear fragile X mental retardation-interacting protein 2;NUFIP2
Q7Z460;CLIP-associating protein 1;CLASP1
Q7Z4G4;tRNA (guanine(10)-N2)-methyltransferase homolog;TRMT11
Q7Z4H3;HD domain-containing protein 2;HDDC2
Q7Z4H7;HAUS augmin-like complex subunit 6;HAUS6
Q7Z4H8;KDEL motif-containing protein 2;KDELC2
Q7Z4Q2;HEAT repeat-containing protein 3;HEATR3
Q7Z4V5;Hepatoma-derived growth factor-related protein 2;HDGFRP2
Q7Z569;BRCA1-associated protein;BRAP
Q7Z5K2;Wings apart-like protein homolog;WAPAL
Q7Z5L9;Interferon regulatory factor 2-binding protein 2;IRF2BP2
Q7Z6E9;E3 ubiquitin-protein ligase RBBP6;RBBP6
Q7Z6Z7;E3 ubiquitin-protein ligase HUWE1;HUWE1
Q7Z7C8;Transcription initiation factor TFIID subunit 8;TAF8
Q7Z7E8;Ubiquitin-conjugating enzyme E2 Q1;UBE2Q1
Q86T24;Transcriptional regulator Kaiso;ZBTB33
Q86TB9;Protein PAT1 homolog 1;PATL1
Q86TI2;Dipeptidyl peptidase 9;DPP9
Q86TP1;Protein prune homolog;PRUNE
Q86TU7;Histone-lysine N-methyltransferase setd3;SETD3
Q86U06;Probable RNA-binding protein 23;RBM23
Q86U38;Nucleolar protein 9;NOP9
Q86U42;Polyadenylate-binding protein 2;PABPN1
Q86U44;N6-adenosine-methyltransferase 70 kDa subunit;METTL3
Q86U86;Protein polybromo-1;PBRM1
Q86UA1;Pre-mRNA-processing factor 39;PRPF39
Q86UE4;Protein LYRIC;MTDH
Q86UE8;Serine/threonine-protein kinase tousled-like 2;TLK2
Q86UK7;Zinc finger protein 598;ZNF598
Q86UP2;Kinectin;KTN1
Q86US8;Telomerase-binding protein EST1A;SMG6
Q86UV5;Ubiquitin carboxyl-terminal hydrolase 48;USP48
Q86UY6;N-alpha-acetyltransferase 40;NAA40
Q86V48;Leucine zipper protein 1;LUZP1
Q86V81;THO complex subunit 4;ALYREF
Q86V97;Kelch repeat and BTB domain-containing protein 6;KBTBD6
Q86VP6;Cullin-associated NEDD8-dissociated protein 1;CAND1
Q86VS8;Protein Hook homolog 3;HOOK3
Q86W42;THO complex subunit 6 homolog;THOC6
Q86W50;Methyltransferase-like protein 16;METTL16
Q86W56;Poly(ADP-ribose) glycohydrolase;PARG
Q86W92;Liprin-beta-1;PPFIBP1
Q86WB0;Nuclear-interacting partner of ALK;ZC3HC1
Q86WJ1;Chromodomain-helicase-DNA-binding protein 1-like;CHD1L
Q86WR0;Coiled-coil domain-containing protein 25;CCDC25
Q96MW1;Coiled-coil domain-containing protein 43;CCDC43
Q86X10;Ral GTPase-activating protein subunit beta;RALGAPB
Q86X53;Glutamate-rich protein 1;ERICH1
Q86X55;Histone-arginine methyltransferase CARM1;CARM1
Q86XI2;Condensin-2 complex subunit G2;NCAPG2
Q86XP3;ATP-dependent RNA helicase DDX42;DDX42
Q86XZ4;Spermatogenesis-associated serine-rich protein 2;SPATS2
Q86Y56;HEAT repeat-containing protein 2;HEATR2
Q86YM7;Homer protein homolog 1;HOMER1
Q86YP4;Transcriptional repressor p66-alpha;GATAD2A
Q96MX6;WD repeat-containing protein 92;"HZGJ;WDR92"
Q86YR5;G-protein-signaling modulator 1;GPSM1
Q8IU81;Interferon regulatory factor 2-binding protein 1;IRF2BP1
Q8IUD2;ELKS/Rab6-interacting/CAST family member 1;ERC1
Q8IUF1;COBW domain-containing protein 2;CBWD2
Q8IUF8;Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA;MINA
Q8IV08;Phospholipase D3;PLD3
Q8IV38;Ankyrin repeat and MYND domain-containing protein 2;ANKMY2
Q8IVD9;NudC domain-containing protein 3;NUDCD3
Q8IVM0;Coiled-coil domain-containing protein 50;CCDC50
Q8IWA0;WD repeat-containing protein 75;WDR75
Q8IWC1;MAP7 domain-containing protein 3;MAP7D3
Q8IWD4;Coiled-coil domain-containing protein 117;CCDC117
Q8IWI9;MAX gene-associated protein;MGA
Q8IWJ2;GRIP and coiled-coil domain-containing protein 2;GCC2
Q8IWR0;Zinc finger CCCH domain-containing protein 7A;ZC3H7A
Q8IWS0;PHD finger protein 6;PHF6
Q8IWV8;E3 ubiquitin-protein ligase UBR2;UBR2
Q8IWX8;Calcium homeostasis endoplasmic reticulum protein;CHERP
Q8IWZ3;Ankyrin repeat and KH domain-containing protein 1;ANKHD1
Q8IWZ8;SURP and G-patch domain-containing protein 1;SUGP1
Q8IX12;Cell division cycle and apoptosis regulator protein 1;CCAR1
Q8IX18;Probable ATP-dependent RNA helicase DHX40;DHX40
Q8IX90;Spindle and kinetochore-associated protein 3;SKA3
Q8IXJ6;NAD-dependent protein deacetylase sirtuin-2;SIRT2
Q8IXW5;Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2;RPAP2
Q8IY18;Structural maintenance of chromosomes protein 5;SMC5
Q8IY37;Probable ATP-dependent RNA helicase DHX37;DHX37
Q8IY81;pre-rRNA processing protein FTSJ3;FTSJ3
Q8IYB7;DIS3-like exonuclease 2;DIS3L2
Q8IYS1;Peptidase M20 domain-containing protein 2;PM20D2
Q8IZ21;Phosphatase and actin regulator 4;PHACTR4
Q8IZH2;5-3 exoribonuclease 1;XRN1
Q8N0X7;Spartin;SPG20
Q8N0Z6;Tetratricopeptide repeat protein 5;TTC5
Q8N108;Mesoderm induction early response protein 1;MIER1
Q8N122;Regulatory-associated protein of mTOR;RPTOR
Q8N163;DBIRD complex subunit KIAA1967;KIAA1967
Q8N1F7;Nuclear pore complex protein Nup93;NUP93
Q8N1G2;Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1;FTSJD2
Q8N1G4;Leucine-rich repeat-containing protein 47;LRRC47
Q8N201;Integrator complex subunit 1;INTS1
Q8N2W9;E3 SUMO-protein ligase PIAS4;PIAS4
Q8N392;Rho GTPase-activating protein 18;ARHGAP18
Q8N3C0;Activating signal cointegrator 1 complex subunit 3;ASCC3
Q8N3F8;MICAL-like protein 1;MICALL1
Q8N3U4;Cohesin subunit SA-2;STAG2
Q8N3X1;Formin-binding protein 4;FNBP4
Q8N4Q1;Mitochondrial intermembrane space import and assembly protein 40;CHCHD4
Q8N543;2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1;OGFOD1
Q8N573;Oxidation resistance protein 1;OXR1
Q8N5A5;Zinc finger CCCH-type with G patch domain-containing protein;ZGPAT
Q8N5C6;S1 RNA-binding domain-containing protein 1;SRBD1
Q8N5F7;NF-kappa-B-activating protein;NKAP
Q8N5P1;Zinc finger CCCH domain-containing protein 8;ZC3H8
Q8N684;Cleavage and polyadenylation specificity factor subunit 7;CPSF7
Q8N6M0;OTU domain-containing protein 6B;OTUD6B
Q8N6N3;UPF0690 protein C1orf52;C1orf52
Q8N6R0;Methyltransferase-like protein 13;METTL13
Q8N6T3;ADP-ribosylation factor GTPase-activating protein 1;ARFGAP1
Q8N7H5;RNA polymerase II-associated factor 1 homolog;PAF1
Q8N806;Putative E3 ubiquitin-protein ligase UBR7;UBR7
Q8N8A6;ATP-dependent RNA helicase DDX51;DDX51
Q8N8S7;Protein enabled homolog;ENAH
Q8N954;G patch domain-containing protein 11;GPATCH11
Q8N999;Uncharacterized protein C12orf29;C12orf29
Q8NAV1;Pre-mRNA-splicing factor 38A;PRPF38A
Q8NB90;Spermatogenesis-associated protein 5;SPATA5
Q8NBF2;NHL repeat-containing protein 2;NHLRC2
Q8NBJ5;Procollagen galactosyltransferase 1;COLGALT1
Q8NBS9;Thioredoxin domain-containing protein 5;TXNDC5
Q8NBZ0;INO80 complex subunit E;INO80E
Q8NC51;Plasminogen activator inhibitor 1 RNA-binding protein;SERBP1
Q8NC51;Plasminogen activator inhibitor 1 RNA-binding protein;SERBP1
Q8NCA5;Protein FAM98A;FAM98A
Q8NCF5;NFATC2-interacting protein;NFATC2IP
Q8NCM8;Cytoplasmic dynein 2 heavy chain 1;DYNC2H1
Q8NCW5;NAD(P)H-hydrate epimerase;APOA1BP
Q8ND04;Protein SMG8;SMG8
Q8ND24;RING finger protein 214;RNF214
Q8ND56;Protein LSM14 homolog A;LSM14A
Q8NDD1;Uncharacterized protein C1orf131;C1orf131
Q8NDI1;EH domain-binding protein 1;EHBP1
Q8NDV7;Trinucleotide repeat-containing gene 6A protein;TNRC6A
Q8NE71;ATP-binding cassette sub-family F member 1;ABCF1
Q8NEF9;Serum response factor-binding protein 1;SRFBP1
Q8NEJ9;Neuroguidin;NGDN
Q8NEM2;SHC SH2 domain-binding protein 1;SHCBP1
Q8NEZ5;F-box only protein 22;FBXO22
Q8NFD5;AT-rich interactive domain-containing protein 1B;ARID1B
Q8NFF5;"FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region";FLAD1
Q8NFH3;Nucleoporin Nup43;NUP43
Q8NFH4;Nucleoporin Nup37;NUP37
Q8NG08;DNA helicase B;HELB
Q8NG31;Protein CASC5;CASC5
Q8NHP8;"Putative phospholipase B-like 2;Putative phospholipase B-like 2 32 kDa form;Putative phospholipase B-like 2 45 kDa form";PLBD2
Q8NHQ9;ATP-dependent RNA helicase DDX55;DDX55
Q8NI27;THO complex subunit 2;THOC2
Q8NI36;WD repeat-containing protein 36;WDR36
Q8TAD8;Smad nuclear-interacting protein 1;SNIP1
Q8TAF3;WD repeat-containing protein 48;WDR48
Q8TAQ2;SWI/SNF complex subunit SMARCC2;SMARCC2
Q8TAT6;Nuclear protein localization protein 4 homolog;NPLOC4
Q8TB52;F-box only protein 30;FBXO30
Q8TBC4;NEDD8-activating enzyme E1 catalytic subunit;UBA3
Q8TBX8;Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma;PIP4K2C
Q8TBZ6;tRNA methyltransferase 10 homolog A;TRMT10A
Q8TC07;TBC1 domain family member 15;TBC1D15
Q8TCD5;5(3)-deoxyribonucleotidase, cytosolic type;NT5C
Q8TD16;Protein bicaudal D homolog 2;BICD2
Q8TD19;Serine/threonine-protein kinase Nek9;NEK9
Q8TDD1;ATP-dependent RNA helicase DDX54;DDX54
Q8TDN6;Ribosome biogenesis protein BRX1 homolog;BRIX1
Q8TDP1;Ribonuclease H2 subunit C;RNASEH2C
Q8TDR0;TRAF3-interacting protein 1;TRAF3IP1
Q8TEA1;Putative methyltransferase NSUN6;NSUN6
Q8TEQ6;Gem-associated protein 5;GEMIN5
Q8TEU7;Rap guanine nucleotide exchange factor 6;"RAPGEF6;FNIP1"
Q8TEW0;Partitioning defective 3 homolog;PARD3
Q8TEX9;Importin-4;IPO4
Q8TF05;Serine/threonine-protein phosphatase 4 regulatory subunit 1;PPP4R1
Q8TF46;DIS3-like exonuclease 1;DIS3L
Q8WTS6;Histone-lysine N-methyltransferase SETD7;SETD7
Q8WTT2;Nucleolar complex protein 3 homolog;NOC3L
Q8WU90;Zinc finger CCCH domain-containing protein 15;ZC3H15
Q8WUA2;Peptidyl-prolyl cis-trans isomerase-like 4;PPIL4
Q8WUA4;General transcription factor 3C polypeptide 2;GTF3C2
Q8WUB8;PHD finger protein 10;PHF10
Q8WUM0;Nuclear pore complex protein Nup133;NUP133
Q8WUM4;Programmed cell death 6-interacting protein;PDCD6IP
Q8WUQ7;Cactin;CACTIN
Q8WUX2;Cation transport regulator-like protein 2;CHAC2
Q8WUX9;Charged multivesicular body protein 7;CHMP7
Q8WVD3;E3 ubiquitin-protein ligase RNF138;RNF138
Q8WVJ2;NudC domain-containing protein 2;NUDCD2
Q8WVK2;U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein;SNRNP27
Q8WVM7;Cohesin subunit SA-1;"STAG1;DKFZp781D1416"
Q8WVM8;Sec1 family domain-containing protein 1;SCFD1
Q8WVT3;Trafficking protein particle complex subunit 12;TRAPPC12
Q8WVY7;Ubiquitin-like domain-containing CTD phosphatase 1;UBLCP1
Q8WW12;PEST proteolytic signal-containing nuclear protein;PCNP
Q8WWH5;Probable tRNA pseudouridine synthase 1;TRUB1
Q8WWK9;Cytoskeleton-associated protein 2;CKAP2
Q8WWM7;Ataxin-2-like protein;ATXN2L
Q8WWY3;U4/U6 small nuclear ribonucleoprotein Prp31;PRPF31
Q8WX92;Negative elongation factor B;NELFB
Q8WXA9;Splicing regulatory glutamine/lysine-rich protein 1;SREK1
Q8WXD5;Gem-associated protein 6;GEMIN6
Q8WXF1;Paraspeckle component 1;PSPC1
Q8WXI9;Transcriptional repressor p66-beta;GATAD2B
Q8WXW3;Progesterone-induced-blocking factor 1;PIBF1
Q8WXX5;DnaJ homolog subfamily C member 9;DNAJC9
Q8WY54;Protein phosphatase 1E;PPM1E
Q8WYA0;Intraflagellar transport protein 81 homolog;IFT81
Q8WYQ5;Microprocessor complex subunit DGCR8;DGCR8
Q8WZA0;Protein LZIC;LZIC
Q8WZA9;Immunity-related GTPase family Q protein;IRGQ
Q92499;ATP-dependent RNA helicase DDX1;DDX1
Q92522;Histone H1x;H1FX
Q92530;Proteasome inhibitor PI31 subunit;PSMF1
Q92538;Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1;GBF1
Q92541;RNA polymerase-associated protein RTF1 homolog;RTF1
Q92547;DNA topoisomerase 2-binding protein 1;TOPBP1
Q92551;Inositol hexakisphosphate kinase 1;IP6K1
Q92552;28S ribosomal protein S27, mitochondrial;MRPS27
Q92558;Wiskott-Aldrich syndrome protein family member 1;WASF1
Q92572;AP-3 complex subunit sigma-1;AP3S1
Q92576;PHD finger protein 3;PHF3
Q92597;Protein NDRG1;NDRG1
Q92598;Heat shock protein 105 kDa;HSPH1
Q92600;Cell differentiation protein RCD1 homolog;RQCD1
Q92615;La-related protein 4B;LARP4B
Q92616;Translational activator GCN1;GCN1L1
Q92620;Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16;DHX38
Q92621;Nuclear pore complex protein Nup205;NUP205
Q92625;Ankyrin repeat and SAM domain-containing protein 1A;ANKS1A
Q92665;28S ribosomal protein S31, mitochondrial;MRPS31
Q92688;Acidic leucine-rich nuclear phosphoprotein 32 family member B;ANP32B
Q92733;Proline-rich protein PRCC;PRCC
Q92734;Protein TFG;TFG
Q92747;Actin-related protein 2/3 complex subunit 1A;ARPC1A
Q92769;Histone deacetylase 2;HDAC2
Q92783;Signal transducing adapter molecule 1;STAM
Q92793;CREB-binding protein;CREBBP
Q92794;Histone acetyltransferase KAT6A;"KAT6A;MYST3"
Q92797;Symplekin;SYMPK
Q92804;TATA-binding protein-associated factor 2N;TAF15
Q92820;Gamma-glutamyl hydrolase;GGH
Q92845;Kinesin-associated protein 3;KIFAP3
Q92878;DNA repair protein RAD50;RAD50
Q92882;Osteoclast-stimulating factor 1;OSTF1
Q92888;Rho guanine nucleotide exchange factor 1;ARHGEF1
Q92889;DNA repair endonuclease XPF;ERCC4
Q92890;Ubiquitin fusion degradation protein 1 homolog;UFD1L
Q92900;Regulator of nonsense transcripts 1;UPF1
Q92905;COP9 signalosome complex subunit 5;COPS5
Q92917;G patch domain and KOW motifs-containing protein;GPKOW
Q92922;SWI/SNF complex subunit SMARCC1;SMARCC1
Q92945;Far upstream element-binding protein 2;KHSRP
Q92947;Glutaryl-CoA dehydrogenase, mitochondrial;GCDH
Q92973;Transportin-1;TNPO1
Q92974;Rho guanine nucleotide exchange factor 2;ARHGEF2
Q92979;Ribosomal RNA small subunit methyltransferase NEP1;EMG1
Q92990;Glomulin;GLMN
Q93008;Probable ubiquitin carboxyl-terminal hydrolase FAF-X;USP9X
Q93009;"Ubiquitin carboxyl-terminal hydrolase 7;Ubiquitin carboxyl-terminal hydrolase";USP7
Q93034;Cullin-5;CUL5
Q93073;Selenocysteine insertion sequence-binding protein 2-like;SECISBP2L
Q93074;Mediator of RNA polymerase II transcription subunit 12;MED12
Q969E8;Pre-rRNA-processing protein TSR2 homolog;TSR2
Q969F1;General transcription factor 3C polypeptide 6;GTF3C6
Q969G3;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SMARCE1
Q969G6;Riboflavin kinase;RFK
Q969R5;Lethal(3)malignant brain tumor-like protein 2;L3MBTL2
Q969S3;Zinc finger protein 622;ZNF622
Q969T7;7-methylguanosine phosphate-specific 5-nucleotidase;NT5C3B
Q969U7;Proteasome assembly chaperone 2;PSMG2
Q96A49;Synapse-associated protein 1;SYAP1
Q96A65;Exocyst complex component 4;EXOC4
Q96A72;Protein mago nashi homolog 2;MAGOHB
Q96AC1;Fermitin family homolog 2;FERMT2
Q96AE4;Far upstream element-binding protein 1;FUBP1
Q96AG4;Leucine-rich repeat-containing protein 59;LRRC59
Q96AT9;Ribulose-phosphate 3-epimerase;RPE
Q96AX1;Vacuolar protein sorting-associated protein 33A;VPS33A
Q96AY3;Peptidyl-prolyl cis-trans isomerase FKBP10;FKBP10
Q96B01;RAD51-associated protein 1;RAD51AP1
Q96B26;Exosome complex component RRP43;EXOSC8
Q96B36;Proline-rich AKT1 substrate 1;AKT1S1
Q96B97;SH3 domain-containing kinase-binding protein 1;SH3KBP1
Q96BH1;E3 ubiquitin-protein ligase RNF25;RNF25
Q96BK5;PIN2/TERF1-interacting telomerase inhibitor 1;PINX1
Q96BP3;Peptidylprolyl isomerase domain and WD repeat-containing protein 1;PPWD1
Q96BW5;Phosphotriesterase-related protein;PTER
Q96C19;EF-hand domain-containing protein D2;EFHD2
Q96C57;Uncharacterized protein C12orf43;C12orf43
Q96C86;m7GpppX diphosphatase;DCPS
Q96C90;Protein phosphatase 1 regulatory subunit 14B;PPP1R14B
Q96C92;Serologically defined colon cancer antigen 3;SDCCAG3
Q96CB8;Integrator complex subunit 12;INTS12
Q96CN7;Isochorismatase domain-containing protein 1;ISOC1
Q96CN9;GRIP and coiled-coil domain-containing protein 1;GCC1
Q96CT7;Coiled-coil domain-containing protein 124;CCDC124
Q96CW5;Gamma-tubulin complex component 3;TUBGCP3
Q96CX2;BTB/POZ domain-containing protein KCTD12;KCTD12
Q96D09;G-protein coupled receptor-associated sorting protein 2;GPRASP2
Q96D46;60S ribosomal export protein NMD3;NMD3
Q96D71;RalBP1-associated Eps domain-containing protein 1;REPS1
Q96DB5;Regulator of microtubule dynamics protein 1;RMDN1
Q96DG6;Carboxymethylenebutenolidase homolog;CMBL
Q96DH6;RNA-binding protein Musashi homolog 2;MSI2
Q96DI7;U5 small nuclear ribonucleoprotein 40 kDa protein;SNRNP40
Q96DT6;Cysteine protease ATG4C;ATG4C
Q96DT7;Zinc finger and BTB domain-containing protein 10;ZBTB10
Q96DV4;39S ribosomal protein L38, mitochondrial;MRPL38
Q96EA4;Protein Spindly;SPDL1
Q96EB6;"NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment";SIRT1
Q96EE3;Nucleoporin SEH1;SEH1L
Q96EI5;Transcription elongation factor A protein-like 4;TCEAL4
Q96EK5;KIF1-binding protein;KIAA1279
Q96EK6;Glucosamine 6-phosphate N-acetyltransferase;GNPNAT1
Q96ER3;Protein SAAL1;SAAL1
Q96EU6;Ribosomal RNA processing protein 36 homolog;RRP36
Q96EV2;RNA-binding protein 33;RBM33
Q96EY7;Pentatricopeptide repeat domain-containing protein 3, mitochondrial;PTCD3
Q96F45;Zinc finger protein 503;ZNF503
Q96F63;Coiled-coil domain-containing protein 97;CCDC97
Q96F86;Enhancer of mRNA-decapping protein 3;EDC3
Q96FX7;tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A;TRMT61A
Q96FZ2;UPF0361 protein C3orf37;C3orf37
Q96G03;Phosphoglucomutase-2;PGM2
Q96G46;tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like;DUS3L
Q96G61;Diphosphoinositol polyphosphate phosphohydrolase 3-beta;NUDT11
Q96G74;OTU domain-containing protein 5;OTUD5
Q96GA3;Protein LTV1 homolog;LTV1
Q96GD0;Pyridoxal phosphate phosphatase;PDXP
Q96GK7;Fumarylacetoacetate hydrolase domain-containing protein 2A;FAHD2A
Q96GM5;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1;SMARCD1
Q96GM8;Target of EGR1 protein 1;TOE1
Q96GX5;Serine/threonine-protein kinase greatwall;MASTL
Q96GX9;Methylthioribulose-1-phosphate dehydratase;APIP
Q96H79;Zinc finger CCCH-type antiviral protein 1-like;ZC3HAV1L
Q96HA7;Tonsoku-like protein;TONSL
Q96HC4;PDZ and LIM domain protein 5;PDLIM5
Q96HE7;ERO1-like protein alpha;ERO1L
Q96HJ9;"UPF0562 protein C7orf55;Putative RNA-binding protein Luc7-like 2";"C7orf55;LUC7L2"
Q96HR8;H/ACA ribonucleoprotein complex non-core subunit NAF1;NAF1
Q96HW7;Integrator complex subunit 4;INTS4
Q96I15;Selenocysteine lyase;SCLY
Q96I24;Far upstream element-binding protein 3;FUBP3
Q96I25;Splicing factor 45;RBM17
Q96I99;Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial;SUCLG2
Q96IJ6;Mannose-1-phosphate guanyltransferase alpha;GMPPA
Q96IU4;Alpha/beta hydrolase domain-containing protein 14B;ABHD14B
Q96IZ0;PRKC apoptosis WT1 regulator protein;PAWR
Q96IZ6;Methyltransferase-like protein 2A;METTL2A
Q96J01;THO complex subunit 3;THOC3
Q96J02;E3 ubiquitin-protein ligase Itchy homolog;ITCH
Q96JB2;Conserved oligomeric Golgi complex subunit 3;COG3
Q96JG6;Coiled-coil domain-containing protein 132;CCDC132
Q96JG8;Melanoma-associated antigen D4;MAGED4
Q96JH7;Deubiquitinating protein VCIP135;VCPIP1
Q96JK2;DDB1- and CUL4-associated factor 5;"DCAF5;WDR22"
Q96JM3;Chromosome alignment-maintaining phosphoprotein 1;CHAMP1
Q96JP5;E3 ubiquitin-protein ligase ZFP91;"ZFP91;ZFP91-CNTF"
Q96K17;Transcription factor BTF3 homolog 4;BTF3L4
Q96K76;Ubiquitin carboxyl-terminal hydrolase 47;USP47
Q96KB5;Lymphokine-activated killer T-cell-originated protein kinase;PBK
Q96KP1;Exocyst complex component 2;EXOC2
Q96KP4;Cytosolic non-specific dipeptidase;CNDP2
Q96KQ7;Histone-lysine N-methyltransferase EHMT2;EHMT2
Q96KR1;Zinc finger RNA-binding protein;ZFR
Q96L73;Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific;NSD1
Q96L92;Sorting nexin-27;SNX27
Q96LB3;Intraflagellar transport protein 74 homolog;IFT74
Q96M27;Protein PRRC1;PRRC1
Q96MF7;E3 SUMO-protein ligase NSE2;NSMCE2
Q96MG7;Melanoma-associated antigen G1;NDNL2
Q96MW5;Conserved oligomeric Golgi complex subunit 8;COG8
Q96N67;Dedicator of cytokinesis protein 7;DOCK7
Q96NB3;Zinc finger protein 830;ZNF830
Q96NC0;Zinc finger matrin-type protein 2;ZMAT2
Q96P11;Putative methyltransferase NSUN5;NSUN5
Q96P16;Regulation of nuclear pre-mRNA domain-containing protein 1A;RPRD1A
Q96P48;Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1;ARAP1
Q96P70;Importin-9;IPO9
Q96PK6;RNA-binding protein 14;RBM14
Q96PU8;Protein quaking;QKI
Q96PZ0;Pseudouridylate synthase 7 homolog;PUS7
Q96Q11;CCA tRNA nucleotidyltransferase 1, mitochondrial;TRNT1
Q96Q89;Kinesin-like protein KIF20B;KIF20B
Q96QC0;Serine/threonine-protein phosphatase 1 regulatory subunit 10;PPP1R10
Q96QD8;Sodium-coupled neutral amino acid transporter 2;SLC38A2
Q96QK1;Vacuolar protein sorting-associated protein 35;VPS35
Q96R06;Sperm-associated antigen 5;SPAG5
Q96RE7;Nucleus accumbens-associated protein 1;NACC1
Q96RF0;Sorting nexin-18;SNX18
Q96RL1;BRCA1-A complex subunit RAP80;UIMC1
Q96RN5;Mediator of RNA polymerase II transcription subunit 15;MED15
Q96RP9;Elongation factor G, mitochondrial;GFM1
Q9ULW0;Targeting protein for Xklp2;"TPX2;HCA90"
Q96RS0;Trimethylguanosine synthase;TGS1
Q96RS6;NudC domain-containing protein 1;NUDCD1
Q96RU2;"Ubiquitin carboxyl-terminal hydrolase 28;Ubiquitin carboxyl-terminal hydrolase";USP28
Q96S44;TP53-regulating kinase;TP53RK
Q96S55;ATPase WRNIP1;WRNIP1
Q96S59;Ran-binding protein 9;RANBP9
Q96S82;Ubiquitin-like protein 7;UBL7
Q96SB4;SRSF protein kinase 1;SRPK1
Q96SB8;Structural maintenance of chromosomes protein 6;SMC6
Q96SI1;BTB/POZ domain-containing protein KCTD15;KCTD15
Q96SI9;Spermatid perinuclear RNA-binding protein;STRBP
Q96SN8;CDK5 regulatory subunit-associated protein 2;CDK5RAP2
Q96ST2;Protein IWS1 homolog;IWS1
Q96ST3;Paired amphipathic helix protein Sin3a;SIN3A
Q96SU4;Oxysterol-binding protein-related protein 9;OSBPL9
Q96T17;MAP7 domain-containing protein 2;MAP7D2
Q96T37;Putative RNA-binding protein 15;RBM15
Q96T51;RUN and FYVE domain-containing protein 1;RUFY1
Q96T58;Msx2-interacting protein;SPEN
Q96T76;MMS19 nucleotide excision repair protein homolog;MMS19
Q96TA1;Niban-like protein 1;FAM129B
Q99426;Tubulin-folding cofactor B;TBCB
Q99436;Proteasome subunit beta type-7;PSMB7
Q99459;Cell division cycle 5-like protein;CDC5L
Q99460;26S proteasome non-ATPase regulatory subunit 1;PSMD1
